make,model,price,fuel,transmission,trim,drivetrain,car_age
Jeep,Wagoneer,74600.0,Gasoline,8-Speed Automatic,Series II,Four-wheel Drive,1
Jeep,Grand Cherokee,50170.0,Gasoline,8-Speed Automatic,Laredo,Four-wheel Drive,1
GMC,Yukon XL,96410.0,Gasoline,Automatic,Denali,Four-wheel Drive,1
Dodge,Durango,46835.0,Gasoline,8-Speed Automatic,Pursuit,All-wheel Drive,2
RAM,3500,81663.0,Diesel,6-Speed Automatic,Laramie,Four-wheel Drive,1
Nissan,Murano,46000.0,Gasoline,Automatic CVT,Platinum,All-wheel Drive,1
Jeep,Wagoneer,63862.0,Gasoline,8-Speed Automatic,Base,Rear-wheel Drive,1
Ford,F-350,89978.0,Diesel,1-Speed Automatic,Lariat Super Duty,Four-wheel Drive,1
Hyundai,Tucson Hybrid,42230.0,Hybrid,6-Speed Automatic,Limited,All-wheel Drive,1
Jeep,Grand Cherokee,42773.0,Gasoline,Automatic,Altitude,Four-wheel Drive,1
Jeep,Compass,37743.0,Gasoline,8-Speed Automatic,Latitude,Four-wheel Drive,1
RAM,3500,60904.0,Diesel,Automatic,Tradesman,Four-wheel Drive,1
Hyundai,Santa Cruz,43419.0,Gasoline,8-Speed Automatic,2.5T Limited,All-wheel Drive,1
Jeep,Grand Cherokee,44022.0,Gasoline,Automatic,Altitude,Four-wheel Drive,1
Chevrolet,Blazer EV,51695.0,Electric,1-Speed Automatic,2LT,All-wheel Drive,1
Hyundai,Santa Cruz,38574.0,Gasoline,8-Speed Automatic,2.5T XRT,All-wheel Drive,1
Nissan,Murano,48000.0,Gasoline,Automatic CVT,Platinum,All-wheel Drive,1
Ford,Explorer,53190.0,Gasoline,1-Speed Automatic,Timberline,Four-wheel Drive,1
Volkswagen,Taos,32751.0,Gasoline,7-Speed Automatic,1.5T SE,All-wheel Drive,1
Volkswagen,Jetta,24348.0,Gasoline,8-Speed Automatic,1.4T S,Front-wheel Drive,1
RAM,3500,65221.0,Diesel,Automatic,Tradesman,Four-wheel Drive,1
Dodge,Hornet,39491.0,Hybrid,6-Speed Automatic,R/T,All-wheel Drive,1
Hyundai,Tucson,30305.0,Gasoline,8-Speed Automatic,SEL,Front-wheel Drive,1
GMC,Terrain,44120.0,Gasoline,Automatic,Denali,All-wheel Drive,1
Hyundai,Santa Cruz,33160.0,Gasoline,8-Speed Automatic,2.5L SEL,All-wheel Drive,1
Ford,Explorer,40940.0,Gasoline,1-Speed Automatic,XLT,Rear-wheel Drive,1
Jeep,Compass,34084.0,Gasoline,8-Speed Automatic,Limited,Four-wheel Drive,1
Chrysler,Pacifica,48705.0,Gasoline,9-Speed Automatic,Touring-L,All-wheel Drive,1
Chevrolet,Blazer EV,52190.0,Electric,1-Speed Automatic,2LT,All-wheel Drive,1
RAM,2500,58855.0,Gasoline,Automatic,Tradesman,Four-wheel Drive,1
Nissan,Murano,39867.0,Gasoline,Automatic CVT,SV,Front-wheel Drive,1
Ford,Transit-250,53595.0,E85 Flex Fuel,Automatic,148 WB Medium Roof Cargo,Rear-wheel Drive,1
Jeep,Grand Cherokee 4xe,59547.0,Hybrid,8-Speed Automatic,Trailhawk,Four-wheel Drive,2
Kia,EV6,49820.0,Electric,Automatic,GT,All-wheel Drive,1
Volkswagen,Jetta,27175.0,Gasoline,8-Speed Automatic,1.4T SE,Front-wheel Drive,1
Ford,Mustang Mach-E,47790.0,Electric,1-Speed Automatic,Premium,All-wheel Drive,1
Chevrolet,Silverado 1500,58610.0,Gasoline,Automatic,RST,Four-wheel Drive,1
Kia,Seltos,29640.0,Gasoline,Automatic CVT,EX,All-wheel Drive,1
Chevrolet,Blazer,43727.0,Gasoline,9-Speed Automatic,3LT,All-wheel Drive,1
GMC,Terrain,35870.0,Gasoline,Automatic,SLE,All-wheel Drive,1
RAM,3500,64670.0,Diesel,Automatic,Tradesman,Four-wheel Drive,1
Jeep,Wrangler,46973.0,Gasoline,Automatic,Sport S,Four-wheel Drive,1
Jeep,Grand Cherokee 4xe,54905.0,Hybrid,8-Speed Automatic,Trailhawk,Four-wheel Drive,1
Mazda,CX-90 PHEV,50915.0,Hybrid,8-Speed Automatic,Preferred,All-wheel Drive,1
Acura,MDX,65595.0,Gasoline,1-Speed Automatic,Advance,All-wheel Drive,1
Jeep,Compass,28860.0,Gasoline,8-Speed Automatic,Latitude,Four-wheel Drive,1
Dodge,Durango,46835.0,Gasoline,8-Speed Automatic,Pursuit,All-wheel Drive,2
